Timestep,Region,acei
USA,1950,1.037
1950,USA,1.037
USA,1951,1.037
1951,USA,1.037
USA,1952,1.037
1952,USA,1.037
USA,1953,1.037
1953,USA,1.037
USA,1954,1.037
1954,USA,1.037
USA,1955,1.037
1955,USA,1.037
USA,1956,1.037
1956,USA,1.037
USA,1957,1.037
1957,USA,1.037
USA,1958,1.037
1958,USA,1.037
USA,1959,1.037
1959,USA,1.037
USA,1960,-0.315
1960,USA,-0.315
USA,1961,-0.315
1961,USA,-0.315
USA,1962,-0.315
1962,USA,-0.315
USA,1963,-0.315
1963,USA,-0.315
USA,1964,-0.315
1964,USA,-0.315
USA,1965,-0.315
1965,USA,-0.315
USA,1966,-0.315
1966,USA,-0.315
USA,1967,-0.315
1967,USA,-0.315
USA,1968,-0.315
1968,USA,-0.315
USA,1969,-0.315
1969,USA,-0.315
USA,1970,0.974
1970,USA,0.974
USA,1971,0.974
1971,USA,0.974
USA,1972,0.974
1972,USA,0.974
USA,1973,0.974
1973,USA,0.974
USA,1974,0.974
1974,USA,0.974
USA,1975,0.974
1975,USA,0.974
USA,1976,0.974
1976,USA,0.974
USA,1977,0.974
1977,USA,0.974
USA,1978,0.974
1978,USA,0.974
USA,1979,0.974
1979,USA,0.974
USA,1980,2.002
1980,USA,2.002
USA,1981,2.002
1981,USA,2.002
USA,1982,2.002
1982,USA,2.002
USA,1983,2.002
1983,USA,2.002
USA,1984,2.002
1984,USA,2.002
USA,1985,2.002
1985,USA,2.002
USA,1986,2.002
1986,USA,2.002
USA,1987,2.002
1987,USA,2.002
USA,1988,2.002
1988,USA,2.002
USA,1989,2.002
1989,USA,2.002
USA,1990,0.355
1990,USA,0.355
USA,1991,0.355
1991,USA,0.355
USA,1992,0.355
1992,USA,0.355
USA,1993,0.355
1993,USA,0.355
USA,1994,0.355
1994,USA,0.355
USA,1995,0.386
1995,USA,0.386
USA,1996,0.417
1996,USA,0.417
USA,1997,0.448
1997,USA,0.448
USA,1998,0.479
1998,USA,0.479
USA,1999,0.51
1999,USA,0.51
USA,2000,0.541
2000,USA,0.541
USA,2001,0.572
2001,USA,0.572
USA,2002,0.603
2002,USA,0.603
USA,2003,0.633
2003,USA,0.633
USA,2004,0.664
2004,USA,0.664
USA,2005,0.695
2005,USA,0.695
USA,2006,0.726
2006,USA,0.726
USA,2007,0.757
2007,USA,0.757
USA,2008,0.788
2008,USA,0.788
USA,2009,0.819
2009,USA,0.819
USA,2010,0.85
2010,USA,0.85
USA,2011,0.795
2011,USA,0.795
USA,2012,0.74
2012,USA,0.74
USA,2013,0.685
2013,USA,0.685
USA,2014,0.63
2014,USA,0.63
USA,2015,0.575
2015,USA,0.575
USA,2016,0.52
2016,USA,0.52
USA,2017,0.465
2017,USA,0.465
USA,2018,0.41
2018,USA,0.41
USA,2019,0.355
2019,USA,0.355
USA,2020,0.3
2020,USA,0.3
USA,2021,0.245
2021,USA,0.245
USA,2022,0.19
2022,USA,0.19
USA,2023,0.135
2023,USA,0.135
USA,2024,0.08
2024,USA,0.08
USA,2025,0.025
2025,USA,0.025
USA,2026,0.02
2026,USA,0.02
USA,2027,0.015
2027,USA,0.015
USA,2028,0.01
2028,USA,0.01
USA,2029,0.005
2029,USA,0.005
USA,2030,0
2030,USA,0
USA,2031,0
2031,USA,0
USA,2032,0
2032,USA,0
USA,2033,0
2033,USA,0
USA,2034,0
2034,USA,0
USA,2035,0
2035,USA,0
USA,2036,0
2036,USA,0
USA,2037,0
2037,USA,0
USA,2038,0
2038,USA,0
USA,2039,0
2039,USA,0
USA,2040,0
2040,USA,0
USA,2041,0
2041,USA,0
USA,2042,0
2042,USA,0
USA,2043,0
2043,USA,0
USA,2044,0
2044,USA,0
USA,2045,0
2045,USA,0
USA,2046,0
2046,USA,0
USA,2047,0
2047,USA,0
USA,2048,0
2048,USA,0
USA,2049,0
2049,USA,0
USA,2050,0
2050,USA,0
USA,2051,0.004
2051,USA,0.004
USA,2052,0.008
2052,USA,0.008
USA,2053,0.012
2053,USA,0.012
USA,2054,0.016
2054,USA,0.016
USA,2055,0.02
2055,USA,0.02
USA,2056,0.024
2056,USA,0.024
USA,2057,0.028
2057,USA,0.028
USA,2058,0.032
2058,USA,0.032
USA,2059,0.036
2059,USA,0.036
USA,2060,0.04
2060,USA,0.04
USA,2061,0.044
2061,USA,0.044
USA,2062,0.048
2062,USA,0.048
USA,2063,0.052
2063,USA,0.052
USA,2064,0.056
2064,USA,0.056
USA,2065,0.06
2065,USA,0.06
USA,2066,0.064
2066,USA,0.064
USA,2067,0.068
2067,USA,0.068
USA,2068,0.072
2068,USA,0.072
USA,2069,0.076
2069,USA,0.076
USA,2070,0.08
2070,USA,0.08
USA,2071,0.084
2071,USA,0.084
USA,2072,0.088
2072,USA,0.088
USA,2073,0.092
2073,USA,0.092
USA,2074,0.096
2074,USA,0.096
USA,2075,0.1
2075,USA,0.1
USA,2076,0.104
2076,USA,0.104
USA,2077,0.108
2077,USA,0.108
USA,2078,0.112
2078,USA,0.112
USA,2079,0.116
2079,USA,0.116
USA,2080,0.12
2080,USA,0.12
USA,2081,0.124
2081,USA,0.124
USA,2082,0.128
2082,USA,0.128
USA,2083,0.132
2083,USA,0.132
USA,2084,0.136
2084,USA,0.136
USA,2085,0.14
2085,USA,0.14
USA,2086,0.144
2086,USA,0.144
USA,2087,0.148
2087,USA,0.148
USA,2088,0.152
2088,USA,0.152
USA,2089,0.156
2089,USA,0.156
USA,2090,0.16
2090,USA,0.16
USA,2091,0.164
2091,USA,0.164
USA,2092,0.168
2092,USA,0.168
USA,2093,0.172
2093,USA,0.172
USA,2094,0.176
2094,USA,0.176
USA,2095,0.18
2095,USA,0.18
USA,2096,0.184
2096,USA,0.184
USA,2097,0.188
2097,USA,0.188
USA,2098,0.192
2098,USA,0.192
USA,2099,0.196
2099,USA,0.196
USA,2100,0.2
2100,USA,0.2
USA,2101,0.238
2101,USA,0.238
USA,2102,0.276
2102,USA,0.276
USA,2103,0.314
2103,USA,0.314
USA,2104,0.352
2104,USA,0.352
USA,2105,0.39
2105,USA,0.39
USA,2106,0.428
2106,USA,0.428
USA,2107,0.466
2107,USA,0.466
USA,2108,0.504
2108,USA,0.504
USA,2109,0.542
2109,USA,0.542
USA,2110,0.58
2110,USA,0.58
USA,2111,0.618
2111,USA,0.618
USA,2112,0.656
2112,USA,0.656
USA,2113,0.694
2113,USA,0.694
USA,2114,0.732
2114,USA,0.732
USA,2115,0.77
2115,USA,0.77
USA,2116,0.808
2116,USA,0.808
USA,2117,0.846
2117,USA,0.846
USA,2118,0.884
2118,USA,0.884
USA,2119,0.922
2119,USA,0.922
USA,2120,0.96
2120,USA,0.96
USA,2121,0.998
2121,USA,0.998
USA,2122,1.036
2122,USA,1.036
USA,2123,1.074
2123,USA,1.074
USA,2124,1.112
2124,USA,1.112
USA,2125,1.15
2125,USA,1.15
USA,2126,1.188
2126,USA,1.188
USA,2127,1.226
2127,USA,1.226
USA,2128,1.264
2128,USA,1.264
USA,2129,1.302
2129,USA,1.302
USA,2130,1.34
2130,USA,1.34
USA,2131,1.378
2131,USA,1.378
USA,2132,1.416
2132,USA,1.416
USA,2133,1.454
2133,USA,1.454
USA,2134,1.492
2134,USA,1.492
USA,2135,1.53
2135,USA,1.53
USA,2136,1.568
2136,USA,1.568
USA,2137,1.606
2137,USA,1.606
USA,2138,1.644
2138,USA,1.644
USA,2139,1.682
2139,USA,1.682
USA,2140,1.72
2140,USA,1.72
USA,2141,1.758
2141,USA,1.758
USA,2142,1.796
2142,USA,1.796
USA,2143,1.834
2143,USA,1.834
USA,2144,1.872
2144,USA,1.872
USA,2145,1.91
2145,USA,1.91
USA,2146,1.948
2146,USA,1.948
USA,2147,1.986
2147,USA,1.986
USA,2148,2.024
2148,USA,2.024
USA,2149,2.062
2149,USA,2.062
USA,2150,2.1
2150,USA,2.1
USA,2151,2.138
2151,USA,2.138
USA,2152,2.176
2152,USA,2.176
USA,2153,2.214
2153,USA,2.214
USA,2154,2.252
2154,USA,2.252
USA,2155,2.29
2155,USA,2.29
USA,2156,2.328
2156,USA,2.328
USA,2157,2.366
2157,USA,2.366
USA,2158,2.404
2158,USA,2.404
USA,2159,2.442
2159,USA,2.442
USA,2160,2.48
2160,USA,2.48
USA,2161,2.518
2161,USA,2.518
USA,2162,2.556
2162,USA,2.556
USA,2163,2.594
2163,USA,2.594
USA,2164,2.632
2164,USA,2.632
USA,2165,2.67
2165,USA,2.67
USA,2166,2.708
2166,USA,2.708
USA,2167,2.746
2167,USA,2.746
USA,2168,2.784
2168,USA,2.784
USA,2169,2.822
2169,USA,2.822
USA,2170,2.86
2170,USA,2.86
USA,2171,2.898
2171,USA,2.898
USA,2172,2.936
2172,USA,2.936
USA,2173,2.974
2173,USA,2.974
USA,2174,3.012
2174,USA,3.012
USA,2175,3.05
2175,USA,3.05
USA,2176,3.088
2176,USA,3.088
USA,2177,3.126
2177,USA,3.126
USA,2178,3.164
2178,USA,3.164
USA,2179,3.202
2179,USA,3.202
USA,2180,3.24
2180,USA,3.24
USA,2181,3.278
2181,USA,3.278
USA,2182,3.316
2182,USA,3.316
USA,2183,3.354
2183,USA,3.354
USA,2184,3.392
2184,USA,3.392
USA,2185,3.43
2185,USA,3.43
USA,2186,3.468
2186,USA,3.468
USA,2187,3.506
2187,USA,3.506
USA,2188,3.544
2188,USA,3.544
USA,2189,3.582
2189,USA,3.582
USA,2190,3.62
2190,USA,3.62
USA,2191,3.658
2191,USA,3.658
USA,2192,3.696
2192,USA,3.696
USA,2193,3.734
2193,USA,3.734
USA,2194,3.772
2194,USA,3.772
USA,2195,3.81
2195,USA,3.81
USA,2196,3.848
2196,USA,3.848
USA,2197,3.886
2197,USA,3.886
USA,2198,3.924
2198,USA,3.924
USA,2199,3.962
2199,USA,3.962
USA,2200,4
2200,USA,4
USA,2201,3.96
2201,USA,3.96
USA,2202,3.92
2202,USA,3.92
USA,2203,3.88
2203,USA,3.88
USA,2204,3.84
2204,USA,3.84
USA,2205,3.8
2205,USA,3.8
USA,2206,3.76
2206,USA,3.76
USA,2207,3.72
2207,USA,3.72
USA,2208,3.68
2208,USA,3.68
USA,2209,3.64
2209,USA,3.64
USA,2210,3.6
2210,USA,3.6
USA,2211,3.56
2211,USA,3.56
USA,2212,3.52
2212,USA,3.52
USA,2213,3.48
2213,USA,3.48
USA,2214,3.44
2214,USA,3.44
USA,2215,3.4
2215,USA,3.4
USA,2216,3.36
2216,USA,3.36
USA,2217,3.32
2217,USA,3.32
USA,2218,3.28
2218,USA,3.28
USA,2219,3.24
2219,USA,3.24
USA,2220,3.2
2220,USA,3.2
USA,2221,3.16
2221,USA,3.16
USA,2222,3.12
2222,USA,3.12
USA,2223,3.08
2223,USA,3.08
USA,2224,3.04
2224,USA,3.04
USA,2225,3
2225,USA,3
USA,2226,2.96
2226,USA,2.96
USA,2227,2.92
2227,USA,2.92
USA,2228,2.88
2228,USA,2.88
USA,2229,2.84
2229,USA,2.84
USA,2230,2.8
2230,USA,2.8
USA,2231,2.76
2231,USA,2.76
USA,2232,2.72
2232,USA,2.72
USA,2233,2.68
2233,USA,2.68
USA,2234,2.64
2234,USA,2.64
USA,2235,2.6
2235,USA,2.6
USA,2236,2.56
2236,USA,2.56
USA,2237,2.52
2237,USA,2.52
USA,2238,2.48
2238,USA,2.48
USA,2239,2.44
2239,USA,2.44
USA,2240,2.4
2240,USA,2.4
USA,2241,2.36
2241,USA,2.36
USA,2242,2.32
2242,USA,2.32
USA,2243,2.28
2243,USA,2.28
USA,2244,2.24
2244,USA,2.24
USA,2245,2.2
2245,USA,2.2
USA,2246,2.16
2246,USA,2.16
USA,2247,2.12
2247,USA,2.12
USA,2248,2.08
2248,USA,2.08
USA,2249,2.04
2249,USA,2.04
USA,2250,2
2250,USA,2
USA,2251,1.96
2251,USA,1.96
USA,2252,1.92
2252,USA,1.92
USA,2253,1.88
2253,USA,1.88
USA,2254,1.84
2254,USA,1.84
USA,2255,1.8
2255,USA,1.8
USA,2256,1.76
2256,USA,1.76
USA,2257,1.72
2257,USA,1.72
USA,2258,1.68
2258,USA,1.68
USA,2259,1.64
2259,USA,1.64
USA,2260,1.6
2260,USA,1.6
USA,2261,1.56
2261,USA,1.56
USA,2262,1.52
2262,USA,1.52
USA,2263,1.48
2263,USA,1.48
USA,2264,1.44
2264,USA,1.44
USA,2265,1.4
2265,USA,1.4
USA,2266,1.36
2266,USA,1.36
USA,2267,1.32
2267,USA,1.32
USA,2268,1.28
2268,USA,1.28
USA,2269,1.24
2269,USA,1.24
USA,2270,1.2
2270,USA,1.2
USA,2271,1.16
2271,USA,1.16
USA,2272,1.12
2272,USA,1.12
USA,2273,1.08
2273,USA,1.08
USA,2274,1.04
2274,USA,1.04
USA,2275,1
2275,USA,1
USA,2276,0.96
2276,USA,0.96
USA,2277,0.92
2277,USA,0.92
USA,2278,0.88
2278,USA,0.88
USA,2279,0.84
2279,USA,0.84
USA,2280,0.8
2280,USA,0.8
USA,2281,0.76
2281,USA,0.76
USA,2282,0.72
2282,USA,0.72
USA,2283,0.68
2283,USA,0.68
USA,2284,0.64
2284,USA,0.64
USA,2285,0.6
2285,USA,0.6
USA,2286,0.56
2286,USA,0.56
USA,2287,0.52
2287,USA,0.52
USA,2288,0.48
2288,USA,0.48
USA,2289,0.44
2289,USA,0.44
USA,2290,0.4
2290,USA,0.4
USA,2291,0.36
2291,USA,0.36
USA,2292,0.32
2292,USA,0.32
USA,2293,0.28
2293,USA,0.28
USA,2294,0.24
2294,USA,0.24
USA,2295,0.2
2295,USA,0.2
USA,2296,0.16
2296,USA,0.16
USA,2297,0.12
2297,USA,0.12
USA,2298,0.08
2298,USA,0.08
USA,2299,0.04
2299,USA,0.04
USA,2300,0
2300,USA,0
USA,2301,0.1
2301,USA,0.1
USA,2302,0.1
2302,USA,0.1
USA,2303,0.1
2303,USA,0.1
USA,2304,0.1
2304,USA,0.1
USA,2305,0.1
2305,USA,0.1
USA,2306,0.1
2306,USA,0.1
USA,2307,0.1
2307,USA,0.1
USA,2308,0.1
2308,USA,0.1
USA,2309,0.1
2309,USA,0.1
USA,2310,0.1
2310,USA,0.1
USA,2311,0.1
2311,USA,0.1
USA,2312,0.1
2312,USA,0.1
USA,2313,0.1
2313,USA,0.1
USA,2314,0.1
2314,USA,0.1
USA,2315,0.1
2315,USA,0.1
USA,2316,0.1
2316,USA,0.1
USA,2317,0.1
2317,USA,0.1
USA,2318,0.1
2318,USA,0.1
USA,2319,0.1
2319,USA,0.1
USA,2320,0.1
2320,USA,0.1
USA,2321,0.1
2321,USA,0.1
USA,2322,0.1
2322,USA,0.1
USA,2323,0.1
2323,USA,0.1
USA,2324,0.1
2324,USA,0.1
USA,2325,0.1
2325,USA,0.1
USA,2326,0.1
2326,USA,0.1
USA,2327,0.1
2327,USA,0.1
USA,2328,0.1
2328,USA,0.1
USA,2329,0.1
2329,USA,0.1
USA,2330,0.1
2330,USA,0.1
USA,2331,0.1
2331,USA,0.1
USA,2332,0.1
2332,USA,0.1
USA,2333,0.1
2333,USA,0.1
USA,2334,0.1
2334,USA,0.1
USA,2335,0.1
2335,USA,0.1
USA,2336,0.1
2336,USA,0.1
USA,2337,0.1
2337,USA,0.1
USA,2338,0.1
2338,USA,0.1
USA,2339,0.1
2339,USA,0.1
USA,2340,0.1
2340,USA,0.1
USA,2341,0.1
2341,USA,0.1
USA,2342,0.1
2342,USA,0.1
USA,2343,0.1
2343,USA,0.1
USA,2344,0.1
2344,USA,0.1
USA,2345,0.1
2345,USA,0.1
USA,2346,0.1
2346,USA,0.1
USA,2347,0.1
2347,USA,0.1
USA,2348,0.1
2348,USA,0.1
USA,2349,0.1
2349,USA,0.1
USA,2350,0.1
2350,USA,0.1
USA,2351,0.1
2351,USA,0.1
USA,2352,0.1
2352,USA,0.1
USA,2353,0.1
2353,USA,0.1
USA,2354,0.1
2354,USA,0.1
USA,2355,0.1
2355,USA,0.1
USA,2356,0.1
2356,USA,0.1
USA,2357,0.1
2357,USA,0.1
USA,2358,0.1
2358,USA,0.1
USA,2359,0.1
2359,USA,0.1
USA,2360,0.1
2360,USA,0.1
USA,2361,0.1
2361,USA,0.1
USA,2362,0.1
2362,USA,0.1
USA,2363,0.1
2363,USA,0.1
USA,2364,0.1
2364,USA,0.1
USA,2365,0.1
2365,USA,0.1
USA,2366,0.1
2366,USA,0.1
USA,2367,0.1
2367,USA,0.1
USA,2368,0.1
2368,USA,0.1
USA,2369,0.1
2369,USA,0.1
USA,2370,0.1
2370,USA,0.1
USA,2371,0.1
2371,USA,0.1
USA,2372,0.1
2372,USA,0.1
USA,2373,0.1
2373,USA,0.1
USA,2374,0.1
2374,USA,0.1
USA,2375,0.1
2375,USA,0.1
USA,2376,0.1
2376,USA,0.1
USA,2377,0.1
2377,USA,0.1
USA,2378,0.1
2378,USA,0.1
USA,2379,0.1
2379,USA,0.1
USA,2380,0.1
2380,USA,0.1
USA,2381,0.1
2381,USA,0.1
USA,2382,0.1
2382,USA,0.1
USA,2383,0.1
2383,USA,0.1
USA,2384,0.1
2384,USA,0.1
USA,2385,0.1
2385,USA,0.1
USA,2386,0.1
2386,USA,0.1
USA,2387,0.1
2387,USA,0.1
USA,2388,0.1
2388,USA,0.1
USA,2389,0.1
2389,USA,0.1
USA,2390,0.1
2390,USA,0.1
USA,2391,0.1
2391,USA,0.1
USA,2392,0.1
2392,USA,0.1
USA,2393,0.1
2393,USA,0.1
USA,2394,0.1
2394,USA,0.1
USA,2395,0.1
2395,USA,0.1
USA,2396,0.1
2396,USA,0.1
USA,2397,0.1
2397,USA,0.1
USA,2398,0.1
2398,USA,0.1
USA,2399,0.1
2399,USA,0.1
USA,2400,0.1
2400,USA,0.1
USA,2401,0.1
2401,USA,0.1
USA,2402,0.1
2402,USA,0.1
USA,2403,0.1
2403,USA,0.1
USA,2404,0.1
2404,USA,0.1
USA,2405,0.1
2405,USA,0.1
USA,2406,0.1
2406,USA,0.1
USA,2407,0.1
2407,USA,0.1
USA,2408,0.1
2408,USA,0.1
USA,2409,0.1
2409,USA,0.1
USA,2410,0.1
2410,USA,0.1
USA,2411,0.1
2411,USA,0.1
USA,2412,0.1
2412,USA,0.1
USA,2413,0.1
2413,USA,0.1
USA,2414,0.1
2414,USA,0.1
USA,2415,0.1
2415,USA,0.1
USA,2416,0.1
2416,USA,0.1
USA,2417,0.1
2417,USA,0.1
USA,2418,0.1
2418,USA,0.1
USA,2419,0.1
2419,USA,0.1
USA,2420,0.1
2420,USA,0.1
USA,2421,0.1
2421,USA,0.1
USA,2422,0.1
2422,USA,0.1
USA,2423,0.1
2423,USA,0.1
USA,2424,0.1
2424,USA,0.1
USA,2425,0.1
2425,USA,0.1
USA,2426,0.1
2426,USA,0.1
USA,2427,0.1
2427,USA,0.1
USA,2428,0.1
2428,USA,0.1
USA,2429,0.1
2429,USA,0.1
USA,2430,0.1
2430,USA,0.1
USA,2431,0.1
2431,USA,0.1
USA,2432,0.1
2432,USA,0.1
USA,2433,0.1
2433,USA,0.1
USA,2434,0.1
2434,USA,0.1
USA,2435,0.1
2435,USA,0.1
USA,2436,0.1
2436,USA,0.1
USA,2437,0.1
2437,USA,0.1
USA,2438,0.1
2438,USA,0.1
USA,2439,0.1
2439,USA,0.1
USA,2440,0.1
2440,USA,0.1
USA,2441,0.1
2441,USA,0.1
USA,2442,0.1
2442,USA,0.1
USA,2443,0.1
2443,USA,0.1
USA,2444,0.1
2444,USA,0.1
USA,2445,0.1
2445,USA,0.1
USA,2446,0.1
2446,USA,0.1
USA,2447,0.1
2447,USA,0.1
USA,2448,0.1
2448,USA,0.1
USA,2449,0.1
2449,USA,0.1
USA,2450,0.1
2450,USA,0.1
USA,2451,0.1
2451,USA,0.1
USA,2452,0.1
2452,USA,0.1
USA,2453,0.1
2453,USA,0.1
USA,2454,0.1
2454,USA,0.1
USA,2455,0.1
2455,USA,0.1
USA,2456,0.1
2456,USA,0.1
USA,2457,0.1
2457,USA,0.1
USA,2458,0.1
2458,USA,0.1
USA,2459,0.1
2459,USA,0.1
USA,2460,0.1
2460,USA,0.1
USA,2461,0.1
2461,USA,0.1
USA,2462,0.1
2462,USA,0.1
USA,2463,0.1
2463,USA,0.1
USA,2464,0.1
2464,USA,0.1
USA,2465,0.1
2465,USA,0.1
USA,2466,0.1
2466,USA,0.1
USA,2467,0.1
2467,USA,0.1
USA,2468,0.1
2468,USA,0.1
USA,2469,0.1
2469,USA,0.1
USA,2470,0.1
2470,USA,0.1
USA,2471,0.1
2471,USA,0.1
USA,2472,0.1
2472,USA,0.1
USA,2473,0.1
2473,USA,0.1
USA,2474,0.1
2474,USA,0.1
USA,2475,0.1
2475,USA,0.1
USA,2476,0.1
2476,USA,0.1
USA,2477,0.1
2477,USA,0.1
USA,2478,0.1
2478,USA,0.1
USA,2479,0.1
2479,USA,0.1
USA,2480,0.1
2480,USA,0.1
USA,2481,0.1
2481,USA,0.1
USA,2482,0.1
2482,USA,0.1
USA,2483,0.1
2483,USA,0.1
USA,2484,0.1
2484,USA,0.1
USA,2485,0.1
2485,USA,0.1
USA,2486,0.1
2486,USA,0.1
USA,2487,0.1
2487,USA,0.1
USA,2488,0.1
2488,USA,0.1
USA,2489,0.1
2489,USA,0.1
USA,2490,0.1
2490,USA,0.1
USA,2491,0.1
2491,USA,0.1
USA,2492,0.1
2492,USA,0.1
USA,2493,0.1
2493,USA,0.1
USA,2494,0.1
2494,USA,0.1
USA,2495,0.1
2495,USA,0.1
USA,2496,0.1
2496,USA,0.1
USA,2497,0.1
2497,USA,0.1
USA,2498,0.1
2498,USA,0.1
USA,2499,0.1
2499,USA,0.1
USA,2500,0.1
2500,USA,0.1
USA,2501,0.1
2501,USA,0.1
USA,2502,0.1
2502,USA,0.1
USA,2503,0.1
2503,USA,0.1
USA,2504,0.1
2504,USA,0.1
USA,2505,0.1
2505,USA,0.1
USA,2506,0.1
2506,USA,0.1
USA,2507,0.1
2507,USA,0.1
USA,2508,0.1
2508,USA,0.1
USA,2509,0.1
2509,USA,0.1
USA,2510,0.1
2510,USA,0.1
USA,2511,0.1
2511,USA,0.1
USA,2512,0.1
2512,USA,0.1
USA,2513,0.1
2513,USA,0.1
USA,2514,0.1
2514,USA,0.1
USA,2515,0.1
2515,USA,0.1
USA,2516,0.1
2516,USA,0.1
USA,2517,0.1
2517,USA,0.1
USA,2518,0.1
2518,USA,0.1
USA,2519,0.1
2519,USA,0.1
USA,2520,0.1
2520,USA,0.1
USA,2521,0.1
2521,USA,0.1
USA,2522,0.1
2522,USA,0.1
USA,2523,0.1
2523,USA,0.1
USA,2524,0.1
2524,USA,0.1
USA,2525,0.1
2525,USA,0.1
USA,2526,0.1
2526,USA,0.1
USA,2527,0.1
2527,USA,0.1
USA,2528,0.1
2528,USA,0.1
USA,2529,0.1
2529,USA,0.1
USA,2530,0.1
2530,USA,0.1
USA,2531,0.1
2531,USA,0.1
USA,2532,0.1
2532,USA,0.1
USA,2533,0.1
2533,USA,0.1
USA,2534,0.1
2534,USA,0.1
USA,2535,0.1
2535,USA,0.1
USA,2536,0.1
2536,USA,0.1
USA,2537,0.1
2537,USA,0.1
USA,2538,0.1
2538,USA,0.1
USA,2539,0.1
2539,USA,0.1
USA,2540,0.1
2540,USA,0.1
USA,2541,0.1
2541,USA,0.1
USA,2542,0.1
2542,USA,0.1
USA,2543,0.1
2543,USA,0.1
USA,2544,0.1
2544,USA,0.1
USA,2545,0.1
2545,USA,0.1
USA,2546,0.1
2546,USA,0.1
USA,2547,0.1
2547,USA,0.1
USA,2548,0.1
2548,USA,0.1
USA,2549,0.1
2549,USA,0.1
USA,2550,0.1
2550,USA,0.1
USA,2551,0.1
2551,USA,0.1
USA,2552,0.1
2552,USA,0.1
USA,2553,0.1
2553,USA,0.1
USA,2554,0.1
2554,USA,0.1
USA,2555,0.1
2555,USA,0.1
USA,2556,0.1
2556,USA,0.1
USA,2557,0.1
2557,USA,0.1
USA,2558,0.1
2558,USA,0.1
USA,2559,0.1
2559,USA,0.1
USA,2560,0.1
2560,USA,0.1
USA,2561,0.1
2561,USA,0.1
USA,2562,0.1
2562,USA,0.1
USA,2563,0.1
2563,USA,0.1
USA,2564,0.1
2564,USA,0.1
USA,2565,0.1
2565,USA,0.1
USA,2566,0.1
2566,USA,0.1
USA,2567,0.1
2567,USA,0.1
USA,2568,0.1
2568,USA,0.1
USA,2569,0.1
2569,USA,0.1
USA,2570,0.1
2570,USA,0.1
USA,2571,0.1
2571,USA,0.1
USA,2572,0.1
2572,USA,0.1
USA,2573,0.1
2573,USA,0.1
USA,2574,0.1
2574,USA,0.1
USA,2575,0.1
2575,USA,0.1
USA,2576,0.1
2576,USA,0.1
USA,2577,0.1
2577,USA,0.1
USA,2578,0.1
2578,USA,0.1
USA,2579,0.1
2579,USA,0.1
USA,2580,0.1
2580,USA,0.1
USA,2581,0.1
2581,USA,0.1
USA,2582,0.1
2582,USA,0.1
USA,2583,0.1
2583,USA,0.1
USA,2584,0.1
2584,USA,0.1
USA,2585,0.1
2585,USA,0.1
USA,2586,0.1
2586,USA,0.1
USA,2587,0.1
2587,USA,0.1
USA,2588,0.1
2588,USA,0.1
USA,2589,0.1
2589,USA,0.1
USA,2590,0.1
2590,USA,0.1
USA,2591,0.1
2591,USA,0.1
USA,2592,0.1
2592,USA,0.1
USA,2593,0.1
2593,USA,0.1
USA,2594,0.1
2594,USA,0.1
USA,2595,0.1
2595,USA,0.1
USA,2596,0.1
2596,USA,0.1
USA,2597,0.1
2597,USA,0.1
USA,2598,0.1
2598,USA,0.1
USA,2599,0.1
2599,USA,0.1
USA,2600,0.1
2600,USA,0.1
USA,2601,0.1
2601,USA,0.1
USA,2602,0.1
2602,USA,0.1
USA,2603,0.1
2603,USA,0.1
USA,2604,0.1
2604,USA,0.1
USA,2605,0.1
2605,USA,0.1
USA,2606,0.1
2606,USA,0.1
USA,2607,0.1
2607,USA,0.1
USA,2608,0.1
2608,USA,0.1
USA,2609,0.1
2609,USA,0.1
USA,2610,0.1
2610,USA,0.1
USA,2611,0.1
2611,USA,0.1
USA,2612,0.1
2612,USA,0.1
USA,2613,0.1
2613,USA,0.1
USA,2614,0.1
2614,USA,0.1
USA,2615,0.1
2615,USA,0.1
USA,2616,0.1
2616,USA,0.1
USA,2617,0.1
2617,USA,0.1
USA,2618,0.1
2618,USA,0.1
USA,2619,0.1
2619,USA,0.1
USA,2620,0.1
2620,USA,0.1
USA,2621,0.1
2621,USA,0.1
USA,2622,0.1
2622,USA,0.1
USA,2623,0.1
2623,USA,0.1
USA,2624,0.1
2624,USA,0.1
USA,2625,0.1
2625,USA,0.1
USA,2626,0.1
2626,USA,0.1
USA,2627,0.1
2627,USA,0.1
USA,2628,0.1
2628,USA,0.1
USA,2629,0.1
2629,USA,0.1
USA,2630,0.1
2630,USA,0.1
USA,2631,0.1
2631,USA,0.1
USA,2632,0.1
2632,USA,0.1
USA,2633,0.1
2633,USA,0.1
USA,2634,0.1
2634,USA,0.1
USA,2635,0.1
2635,USA,0.1
USA,2636,0.1
2636,USA,0.1
USA,2637,0.1
2637,USA,0.1
USA,2638,0.1
2638,USA,0.1
USA,2639,0.1
2639,USA,0.1
USA,2640,0.1
2640,USA,0.1
USA,2641,0.1
2641,USA,0.1
USA,2642,0.1
2642,USA,0.1
USA,2643,0.1
2643,USA,0.1
USA,2644,0.1
2644,USA,0.1
USA,2645,0.1
2645,USA,0.1
USA,2646,0.1
2646,USA,0.1
USA,2647,0.1
2647,USA,0.1
USA,2648,0.1
2648,USA,0.1
USA,2649,0.1
2649,USA,0.1
USA,2650,0.1
2650,USA,0.1
USA,2651,0.1
2651,USA,0.1
USA,2652,0.1
2652,USA,0.1
USA,2653,0.1
